wine_type,wine_category,food_item,cuisine,pairing_quality,description
Malbec,Red,bbq ribs,Mexican,4,Heuristic pairing assessment.
Merlot,Red,bacon burger,Moroccan,3,Heuristic pairing assessment.
Sauternes,Dessert,chicken curry,French,3,Heavy wine can dominate poultry.
Nebbiolo,Red,beef stew,Indian,3,Heuristic pairing assessment.
Riesling,White,Thai curry,Moroccan,1,Deliberately bad pairing example for contrast.
Malbec,Red,smoked sausage,Indian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq brisket,Korean,5,Tannic red complements red meat fat.
Grüner Veltliner,White,mushroom risotto,Middle Eastern,3,Heuristic pairing assessment.
Sauvignon Blanc,White,shrimp scampi,Middle Eastern,4,Crisp acidity suits seafood.
Grenache,Red,mixed nuts,Chinese (Sichuan),3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Ethiopian,2,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,American BBQ,3,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,American BBQ,5,Acidic wine balances acidic food.
Chardonnay,White,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Viognier,White,cheese platter,Moroccan,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,cheesecake,Vietnamese,3,Sweet/sparkling pairs with dessert.
Riesling,White,Thai curry,Thai,2,Heuristic pairing assessment.
Grenache,Red,bacon burger,Middle Eastern,4,Heuristic pairing assessment.
Champagne,Sparkling,grilled salmon,Italian,5,Idealized perfect pairing example for contrast.
Malbec,Red,smoked sausage,Korean,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Indian,3,Heuristic pairing assessment.
Albariño,White,mushroom risotto,Italian,3,Heuristic pairing assessment.
Gewürztraminer,White,Indian vindaloo,Ethiopian,4,Heuristic pairing assessment.
Grenache,Red,cream of mushroom soup,Moroccan,1,Too lean for creamy dish.
Nebbiolo,Red,roast lamb,Argentinian,4,Tannic red complements red meat fat.
Sauternes,Dessert,chicken curry,German,3,Heavy wine can dominate poultry.
Albariño,White,chocolate mousse,German,2,Dry table wine clashes with dessert sweetness.
Albariño,White,vegetable curry,Korean,3,Heuristic pairing assessment.
Malbec,Red,bbq ribs,Argentinian,3,Heuristic pairing assessment.
Torrontés,White,Indian vindaloo,Chinese (Sichuan),3,Heuristic pairing assessment.
Malbec,Red,bbq brisket,Thai,4,Tannic red complements red meat fat.
Sauternes,Dessert,sorbet,Moroccan,5,Sweet/sparkling pairs with dessert.
Merlot,Red,mixed nuts,Italian,3,Heuristic pairing assessment.
Albariño,White,stir-fried tofu,Moroccan,3,Heuristic pairing assessment.
Sangiovese,Red,stir-fried tofu,French,2,Heuristic pairing assessment.
Cava,Sparkling,olives and cheese,Argentinian,3,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,Japanese,4,Heuristic pairing assessment.
Chardonnay,White,bacon burger,American BBQ,3,Heuristic pairing assessment.
Syrah,Red,bbq brisket,Thai,5,Tannic red complements red meat fat.
Madeira,Fortified,chocolate mousse,Thai,2,Heuristic pairing assessment.
Sauvignon Blanc,White,cheesecake,Mexican,3,Dry table wine clashes with dessert sweetness.
Sangiovese,Red,citrus salad,Thai,4,Acidic wine balances acidic food.
Syrah,Red,roast lamb,Mexican,3,Tannic red complements red meat fat.
Torrontés,White,fondue,Vietnamese,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Thai,5,Off-dry sweetness calms spice.
Pinot Noir,Red,roast chicken with herbs,German,5,Lighter wines fit poultry.
Madeira,Fortified,mac and cheese,French,3,Heuristic pairing assessment.
Cava,Sparkling,olives and cheese,American BBQ,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Vietnamese,3,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Thai,2,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,Vietnamese,3,Heuristic pairing assessment.
Viognier,White,bacon burger,Ethiopian,4,Heuristic pairing assessment.
Ice Wine,Dessert,roast chicken with herbs,Italian,2,Heavy wine can dominate poultry.
Port,Fortified,chocolate mousse,Middle Eastern,2,Heuristic pairing assessment.
Sangiovese,Red,fondue,German,3,Heuristic pairing assessment.
Sangiovese,Red,roast chicken with herbs,German,2,Heavy wine can dominate poultry.
Port,Fortified,mac and cheese,Italian,4,Heuristic pairing assessment.
Pinot Noir,Red,vegetable curry,Spanish,4,Heuristic pairing assessment.
Gewürztraminer,White,Indian vindaloo,Chinese (Sichuan),2,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,German,3,Heuristic pairing assessment.
Nebbiolo,Red,shrimp scampi,Vietnamese,1,Tannic reds clash with delicate seafood.
Champagne,Sparkling,mixed nuts,Indian,2,Heuristic pairing assessment.
Viognier,White,pork tenderloin,French,2,Heuristic pairing assessment.
Sangiovese,Red,caprese salad,Moroccan,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Vietnamese,2,Heuristic pairing assessment.
Viognier,White,carbonara,Middle Eastern,4,Richer body matches creamy textures.
Grüner Veltliner,White,chocolate mousse,Greek,1,Dry table wine clashes with dessert sweetness.
Malbec,Red,beef stew,Indian,3,Heuristic pairing assessment.
Sangiovese,Red,beef stew,Argentinian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq ribs,Indian,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Moroccan,2,Too lean for creamy dish.
Zinfandel,Red,grilled burger,Moroccan,4,Heuristic pairing assessment.
Nebbiolo,Red,roast lamb,Spanish,3,Tannic red complements red meat fat.
Champagne,Sparkling,mixed nuts,Thai,4,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,Spanish,4,Acidic wine balances acidic food.
Chardonnay,White,carbonara,Japanese,4,Richer body matches creamy textures.
Sauvignon Blanc,White,shrimp scampi,American BBQ,3,Crisp acidity suits seafood.
Chardonnay,White,carbonara,Korean,3,Richer body matches creamy textures.
Grüner Veltliner,White,mushroom risotto,Italian,3,Heuristic pairing assessment.
Merlot,Red,carbonara,Argentinian,2,Too lean for creamy dish.
Cava,Sparkling,roast lamb,Argentinian,1,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,roast lamb,Mexican,4,Tannic red complements red meat fat.
Malbec,Red,smoked sausage,Ethiopian,3,Heuristic pairing assessment.
Syrah,Red,beef stew,Spanish,3,Heuristic pairing assessment.
Ice Wine,Dessert,cheese platter,French,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,bacon burger,Mexican,3,Heuristic pairing assessment.
Grüner Veltliner,White,mushroom risotto,German,3,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,Japanese,4,Acidic wine balances acidic food.
Albariño,White,shrimp scampi,Italian,5,Crisp acidity suits seafood.
Syrah,Red,bbq brisket,American BBQ,3,Tannic red complements red meat fat.
Syrah,Red,grilled burger,American BBQ,4,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Moroccan,1,Heavy wine can dominate poultry.
Sauternes,Dessert,sorbet,Moroccan,4,Sweet/sparkling pairs with dessert.
Albariño,White,vegetable curry,Vietnamese,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Japanese,2,Too lean for creamy dish.
Cava,Sparkling,fish tacos,Ethiopian,3,Crisp acidity suits seafood.
Port,Fortified,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Ethiopian,4,Heuristic pairing assessment.
Gamay,Red,shrimp scampi,Middle Eastern,2,Tannic reds clash with delicate seafood.
Merlot,Red,mixed nuts,Mexican,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Moroccan,3,Heuristic pairing assessment.
Port,Fortified,mac and cheese,Greek,1,Deliberately bad pairing example for contrast.
Malbec,Red,roast lamb,Indian,5,Tannic red complements red meat fat.
Syrah,Red,smoked sausage,Japanese,4,Heuristic pairing assessment.
Ice Wine,Dessert,smoked sausage,Ethiopian,3,Heuristic pairing assessment.
Nebbiolo,Red,Indian vindaloo,Argentinian,2,High tannin intensifies spice heat.
Tempranillo,Red,caprese salad,Ethiopian,2,Heuristic pairing assessment.
Pinot Noir,Red,vegetable curry,German,2,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Middle Eastern,3,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Italian,4,Heuristic pairing assessment.
Champagne,Sparkling,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Ice Wine,Dessert,lemon tart,German,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Nebbiolo,Red,Sichuan noodles,Chinese (Sichuan),4,Heuristic pairing assessment.
Grenache,Red,bacon burger,Chinese (Sichuan),4,Heuristic pairing assessment.
Albariño,White,oysters,French,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,mixed nuts,Argentinian,2,Heuristic pairing assessment.
Pinot Noir,Red,duck à l’orange,Vietnamese,5,Light/medium red suits richer poultry/pork.
Malbec,Red,bbq ribs,Chinese (Sichuan),3,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,Japanese,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Thai,3,Off-dry sweetness calms spice.
Syrah,Red,bbq brisket,Korean,5,Tannic red complements red meat fat.
Chardonnay,White,pork tenderloin,Korean,4,Heuristic pairing assessment.
Cava,Sparkling,oysters,Italian,4,Crisp acidity suits seafood.
Merlot,Red,pork tenderloin,Italian,3,Light/medium red suits richer poultry/pork.
Sauternes,Dessert,olives and cheese,Vietnamese,4,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Japanese,1,Deliberately bad pairing example for contrast.
Zinfandel,Red,smoked sausage,Indian,1,Deliberately bad pairing example for contrast.
Viognier,White,cream of mushroom soup,Spanish,4,Richer body matches creamy textures.
Malbec,Red,grilled burger,Thai,2,Heuristic pairing assessment.
Champagne,Sparkling,charcuterie board,Japanese,3,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,Japanese,3,Heuristic pairing assessment.
Malbec,Red,smoked sausage,Spanish,3,Heuristic pairing assessment.
Sauvignon Blanc,White,stir-fried tofu,Moroccan,4,Heuristic pairing assessment.
Nebbiolo,Red,roast lamb,Thai,5,Tannic red complements red meat fat.
Grenache,Red,olives and cheese,Greek,3,Heuristic pairing assessment.
Pinot Noir,Red,chicken curry,German,4,Lighter wines fit poultry.
Pinot Noir,Red,mushroom risotto,Vietnamese,3,Heuristic pairing assessment.
Sangiovese,Red,stir-fried tofu,Japanese,4,Heuristic pairing assessment.
Chardonnay,White,cheese platter,Chinese (Sichuan),4,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Indian,4,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Ethiopian,4,Heuristic pairing assessment.
Malbec,Red,bbq brisket,Mexican,5,Tannic red complements red meat fat.
Albariño,White,fish tacos,Greek,4,Crisp acidity suits seafood.
Grenache,Red,alfredo pasta,Argentinian,2,Too lean for creamy dish.
Syrah,Red,bbq ribs,Ethiopian,2,Heuristic pairing assessment.
Sauternes,Dessert,lemon tart,Indian,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Torrontés,White,Thai curry,Mexican,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,mushroom risotto,Thai,3,Heuristic pairing assessment.
Gamay,Red,fish tacos,Vietnamese,2,Tannic reds clash with delicate seafood.
Torrontés,White,Thai curry,Indian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,bbq ribs,Thai,3,Heuristic pairing assessment.
Malbec,Red,grilled ribeye,Chinese (Sichuan),3,Heuristic pairing assessment.
Grenache,Red,carbonara,French,2,Too lean for creamy dish.
Chardonnay,White,duck à l’orange,Middle Eastern,4,Heuristic pairing assessment.
Chardonnay,White,carbonara,Middle Eastern,3,Richer body matches creamy textures.
Grüner Veltliner,White,mushroom risotto,Japanese,3,Heuristic pairing assessment.
Chardonnay,White,alfredo pasta,Mexican,3,Richer body matches creamy textures.
Sauvignon Blanc,White,cheesecake,Spanish,2,Dry table wine clashes with dessert sweetness.
Grenache,Red,bacon burger,Greek,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,Mexican,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,lemon tart,Moroccan,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Ice Wine,Dessert,grilled salmon,Italian,2,Tannic reds clash with delicate seafood.
Chardonnay,White,duck à l’orange,Indian,2,Heuristic pairing assessment.
Sangiovese,Red,roast chicken with herbs,Vietnamese,2,Heavy wine can dominate poultry.
Pinot Noir,Red,citrus salad,Korean,4,Acidic wine balances acidic food.
Torrontés,White,Indian vindaloo,Mexican,4,Heuristic pairing assessment.
Sauternes,Dessert,lemon tart,Korean,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Malbec,Red,grilled ribeye,Greek,2,Heuristic pairing assessment.
Sangiovese,Red,roast chicken with herbs,German,1,Heavy wine can dominate poultry.
Nebbiolo,Red,beef stew,Ethiopian,3,Heuristic pairing assessment.
Sangiovese,Red,duck à l’orange,German,4,Light/medium red suits richer poultry/pork.
Nebbiolo,Red,oysters,Middle Eastern,3,Tannic reds clash with delicate seafood.
Chardonnay,White,bacon burger,Mexican,2,Heuristic pairing assessment.
Gamay,Red,bbq brisket,Mexican,2,Delicate wine overwhelmed by red meat.
Gewürztraminer,White,Thai curry,Argentinian,4,Heuristic pairing assessment.
Sauternes,Dessert,chocolate mousse,Korean,3,Sweet/sparkling pairs with dessert.
Nebbiolo,Red,grilled salmon,Greek,3,Tannic reds clash with delicate seafood.
Riesling,White,Thai curry,Thai,3,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,German,3,Crisp acidity suits seafood.
Merlot,Red,bacon burger,Argentinian,4,Heuristic pairing assessment.
Champagne,Sparkling,charcuterie board,Italian,4,Heuristic pairing assessment.
Nebbiolo,Red,shrimp scampi,Spanish,1,Tannic reds clash with delicate seafood.
Ice Wine,Dessert,smoked sausage,Moroccan,3,Heuristic pairing assessment.
Syrah,Red,roast lamb,Indian,4,Tannic red complements red meat fat.
Sangiovese,Red,bbq brisket,American BBQ,4,Tannic red complements red meat fat.
Cava,Sparkling,shrimp scampi,Korean,4,Crisp acidity suits seafood.
Zinfandel,Red,grilled burger,Middle Eastern,3,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Japanese,2,Heuristic pairing assessment.
Ice Wine,Dessert,carbonara,Mexican,1,Deliberately bad pairing example for contrast.
Port,Fortified,fondue,Italian,2,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,Argentinian,3,Heuristic pairing assessment.
Syrah,Red,grilled ribeye,Middle Eastern,3,Heuristic pairing assessment.
Ice Wine,Dessert,charcuterie board,Ethiopian,3,Heuristic pairing assessment.
Grenache,Red,bacon burger,Chinese (Sichuan),3,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Japanese,4,Crisp acidity suits seafood.
Grenache,Red,pork tenderloin,Korean,4,Light/medium red suits richer poultry/pork.
Syrah,Red,bbq ribs,Italian,2,Heuristic pairing assessment.
Chardonnay,White,mac and cheese,Middle Eastern,3,Heuristic pairing assessment.
Sangiovese,Red,caprese salad,Vietnamese,3,Heuristic pairing assessment.
Chardonnay,White,fondue,Greek,3,Heuristic pairing assessment.
Nebbiolo,Red,Thai curry,Chinese (Sichuan),3,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,French,4,Crisp acidity suits seafood.
Ice Wine,Dessert,duck à l’orange,Vietnamese,3,Heuristic pairing assessment.
Madeira,Fortified,fondue,Korean,3,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Vietnamese,3,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Korean,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled ribeye,Ethiopian,3,Heuristic pairing assessment.
Cava,Sparkling,fish tacos,Greek,3,Crisp acidity suits seafood.
Viognier,White,cream of mushroom soup,Japanese,4,Richer body matches creamy textures.
Gewürztraminer,White,Indian vindaloo,Argentinian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled burger,Spanish,2,Heuristic pairing assessment.
Grenache,Red,pork tenderloin,Korean,5,Light/medium red suits richer poultry/pork.
Grenache,Red,carbonara,Italian,2,Too lean for creamy dish.
Chardonnay,White,duck à l’orange,Thai,3,Heuristic pairing assessment.
Syrah,Red,smoked sausage,Greek,3,Heuristic pairing assessment.
Cava,Sparkling,fish tacos,Japanese,5,Crisp acidity suits seafood.
Viognier,White,bacon burger,Argentinian,3,Heuristic pairing assessment.
Ice Wine,Dessert,shrimp scampi,French,2,Tannic reds clash with delicate seafood.
Viognier,White,chicken curry,Japanese,4,Lighter wines fit poultry.
Port,Fortified,cheese platter,Japanese,5,Idealized perfect pairing example for contrast.
Port,Fortified,sorbet,Ethiopian,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Mexican,4,Off-dry sweetness calms spice.
Grüner Veltliner,White,fish tacos,German,3,Crisp acidity suits seafood.
Pinot Noir,Red,vegetable curry,Vietnamese,3,Heuristic pairing assessment.
Cava,Sparkling,shrimp scampi,Middle Eastern,4,Crisp acidity suits seafood.
Pinot Noir,Red,stir-fried tofu,Vietnamese,2,Heuristic pairing assessment.
Chardonnay,White,mac and cheese,Thai,3,Heuristic pairing assessment.
Nebbiolo,Red,shrimp scampi,Mexican,1,Tannic reds clash with delicate seafood.
Viognier,White,duck à l’orange,French,3,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,French,2,Heuristic pairing assessment.
Port,Fortified,mac and cheese,Middle Eastern,3,Heuristic pairing assessment.
Sauvignon Blanc,White,stir-fried tofu,Middle Eastern,4,Heuristic pairing assessment.
Cava,Sparkling,fish tacos,Vietnamese,4,Crisp acidity suits seafood.
Gewürztraminer,White,Indian vindaloo,American BBQ,4,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Thai,4,Heuristic pairing assessment.
Pinot Noir,Red,duck à l’orange,Italian,3,Light/medium red suits richer poultry/pork.
Port,Fortified,cheese platter,French,2,Heuristic pairing assessment.
Gewürztraminer,White,Indian vindaloo,Moroccan,2,Heuristic pairing assessment.
